,COD_CPPOP_CRI,IRPAR_USAGE_V12_MAX,IRPRO_USAGE_V12_MAX,QUA_INT_1_BRP,QUA_INT_MAX_BRP,CODTYP_CRT_TRAVAIL_CRI,COD_SITU_LOGT_CRI,COD_TYPE_MARCHE_CRI,IND_PRIMO_ACCEDT_CRI,TOP_NAT_FR_CRI,g_MNT_TOT_ASSURANCE_CRI,g_COUT_RACHAT_BRP,g_quotite,g_PCT_TEG_TAEG_CRI,g_MOY_ANC_PROF_BRP,g_BEST_APPORT_TX_BRP,defaut_36mois
108132,0,1,0,0,0,0,3,0,1,1,grp_3,grp_3,grp_4,grp_2,grp_1,grp_3,0
108133,0,0,1,0,0,0,3,0,1,1,grp_2,grp_3,grp_1,grp_3,grp_2,,0
108134,0,0,1,0,0,2,3,0,1,1,grp_1,grp_3,grp_4,grp_3,grp_1,grp_4,0
108135,1,0,1,0,0,0,3,0,1,1,grp_2,grp_3,grp_1,grp_3,grp_2,,0
108136,2,0,1,0,0,2,3,0,1,1,grp_2,grp_1,grp_1,grp_3,grp_1,grp_4,0
108137,0,0,1,0,0,0,1,0,0,1,grp_2,grp_3,grp_1,grp_3,grp_3,,0
108138,1,0,1,0,0,0,3,0,1,1,grp_2,grp_3,grp_1,grp_3,grp_2,,0
108139,0,0,1,1,0,1,3,0,1,1,grp_1,grp_3,grp_4,grp_3,grp_3,grp_4,0
108140,2,0,1,0,0,0,3,0,1,1,grp_1,grp_1,grp_3,grp_3,grp_1,grp_2,0
108141,0,0,1,0,0,0,1,1,1,1,grp_1,grp_3,grp_1,grp_3,grp_1,grp_1,0
108142,0,0,1,0,0,2,3,0,1,1,grp_3,grp_3,grp_2,grp_3,grp_1,,0
108143,2,0,1,0,0,0,3,0,0,1,grp_2,grp_1,grp_2,grp_2,grp_1,grp_3,0
108144,0,0,1,0,0,0,3,0,0,1,grp_2,grp_3,grp_2,grp_2,grp_3,,0
108145,1,1,1,0,0,2,3,0,1,1,grp_3,grp_3,grp_4,grp_2,grp_1,grp_3,0
108146,0,2,1,0,0,0,1,0,0,1,grp_2,grp_3,grp_3,grp_3,grp_3,grp_2,0
108147,1,0,1,0,0,2,3,0,1,1,grp_3,grp_3,grp_3,grp_2,grp_2,grp_3,0
108148,2,0,1,0,0,0,3,0,1,1,grp_1,grp_1,grp_1,grp_2,grp_2,grp_1,0
108149,0,0,1,0,0,0,1,0,0,1,grp_1,grp_3,grp_4,grp_2,grp_3,grp_4,0
108150,0,0,1,2,1,0,2,0,0,1,grp_2,grp_3,grp_3,grp_3,grp_2,,0
108151,0,0,1,0,1,2,1,0,0,1,grp_1,grp_3,grp_4,grp_2,grp_2,grp_4,0
108152,0,0,1,0,0,0,1,0,0,1,grp_1,grp_3,grp_4,grp_3,grp_1,grp_3,0
108153,0,0,1,0,0,0,3,0,1,1,grp_3,grp_3,grp_1,grp_2,grp_1,,0
108154,0,0,1,0,0,0,2,0,0,1,grp_1,grp_3,grp_4,grp_3,grp_3,grp_4,0
108155,0,0,1,0,0,2,1,0,0,1,grp_3,grp_3,grp_2,grp_3,grp_2,,0
108156,0,0,1,2,1,0,2,0,0,1,grp_2,grp_3,grp_3,grp_3,grp_1,,0
108157,0,0,1,0,0,0,3,0,1,1,grp_3,grp_3,grp_2,grp_2,grp_1,,0
108158,1,0,1,0,0,0,2,0,0,1,grp_1,grp_3,grp_3,grp_1,grp_3,,0
108159,0,2,1,0,0,0,3,0,1,1,grp_2,grp_3,grp_4,grp_2,grp_3,grp_4,0
108160,0,2,1,0,0,0,3,0,1,1,grp_2,grp_3,grp_1,grp_3,grp_1,grp_1,0
108161,2,0,1,0,0,0,3,0,1,1,grp_1,grp_1,grp_1,grp_3,grp_3,grp_3,0
108162,0,2,1,0,0,0,1,0,0,0,grp_1,grp_3,grp_3,grp_1,grp_3,grp_3,0
108163,0,1,1,0,0,0,1,0,0,1,grp_2,grp_3,grp_3,grp_3,grp_3,grp_4,1
108164,0,0,1,2,1,0,2,0,0,1,grp_2,grp_3,grp_4,grp_2,grp_3,grp_4,0
108165,0,0,1,0,0,0,1,0,0,1,grp_2,grp_3,grp_4,grp_2,grp_3,grp_4,0
108166,2,0,1,0,0,0,3,0,1,1,grp_2,grp_1,grp_2,grp_3,grp_1,grp_2,0
108167,0,0,1,0,0,0,1,0,1,1,grp_3,grp_3,grp_3,grp_3,grp_3,grp_4,0
108168,0,0,1,2,1,2,3,1,0,1,grp_2,grp_3,grp_1,grp_1,grp_2,,0
108169,2,0,1,0,0,0,3,0,1,1,grp_2,grp_2,grp_1,grp_2,grp_1,grp_1,0
108170,1,2,1,0,0,0,3,0,1,1,grp_1,grp_3,grp_3,grp_2,grp_2,grp_2,0
108171,0,0,1,0,0,0,3,0,1,1,grp_3,grp_3,grp_4,grp_2,grp_1,grp_4,0
108172,0,0,1,0,0,0,1,0,1,1,grp_3,grp_3,grp_2,grp_2,grp_2,,0
108173,1,1,0,1,0,0,3,0,1,1,grp_3,grp_3,grp_1,grp_3,grp_2,grp_2,0
108174,0,0,1,0,0,2,1,0,0,1,grp_2,grp_3,grp_4,grp_1,grp_2,grp_3,0
108175,0,0,1,0,0,0,1,0,0,1,grp_1,grp_3,grp_4,grp_1,grp_3,grp_4,0
108176,0,2,1,0,0,0,1,0,0,1,grp_3,grp_3,grp_3,grp_3,grp_3,grp_3,0
108177,0,0,1,0,0,0,1,0,1,1,grp_2,grp_3,grp_1,grp_2,grp_3,grp_2,0
108178,1,0,1,0,0,0,2,0,0,1,grp_2,grp_3,grp_1,grp_2,grp_3,,0
108179,0,0,1,0,0,0,3,0,1,1,grp_3,grp_3,grp_4,grp_3,grp_1,grp_4,0
108180,0,0,1,0,0,0,3,0,1,1,grp_1,grp_3,grp_1,grp_2,grp_1,,0
108181,0,1,1,0,0,0,2,0,0,1,grp_3,grp_3,grp_4,grp_2,grp_3,grp_4,0
108182,1,0,1,0,0,0,1,0,1,1,grp_3,grp_3,grp_4,grp_2,grp_2,grp_4,0
108183,0,0,1,0,0,0,1,0,0,1,grp_2,grp_3,grp_4,grp_3,grp_3,grp_4,0
108184,0,0,1,0,0,0,3,0,1,1,grp_2,grp_3,grp_3,grp_2,grp_2,,0
108185,2,0,1,2,0,0,3,0,1,1,grp_3,grp_1,grp_1,grp_2,grp_2,grp_1,0
108186,1,0,1,0,0,2,3,0,1,1,grp_1,grp_3,grp_1,grp_2,grp_1,grp_2,0
108187,1,0,1,0,0,0,1,0,0,1,grp_3,grp_3,grp_2,grp_3,grp_3,,0
108188,2,0,0,3,2,0,2,1,1,1,grp_1,grp_1,grp_1,grp_1,grp_3,grp_1,0
108189,0,0,1,0,0,0,1,0,0,1,grp_1,grp_3,grp_4,grp_1,grp_2,grp_3,0
108190,0,0,1,1,0,0,3,0,1,1,grp_1,grp_3,grp_1,grp_3,grp_1,grp_1,0
108191,0,2,1,2,1,0,1,0,0,1,grp_1,grp_3,grp_1,grp_2,grp_3,,0
108192,0,0,1,0,0,0,1,0,0,1,grp_1,grp_3,grp_3,grp_1,grp_3,grp_2,0
108193,2,0,1,0,0,2,3,0,1,1,grp_1,grp_1,grp_2,grp_2,grp_1,grp_2,0
108194,0,0,1,0,0,0,1,0,0,1,grp_2,grp_3,grp_1,grp_2,grp_2,grp_1,0
108195,0,0,1,0,0,0,2,0,1,1,grp_2,grp_3,grp_3,grp_3,grp_1,grp_2,0
